"","id_student","code_presentation","Decile","Avg_Clicks","Asgmts","Avg_Asgmt_Score","final_result"
"104998","1054876","2013B",10,0,0,69,"Fail"
"105007","107162","2013B",0,2.23214285714286,0,0,"Distinction"
"105008","107162","2013B",1,21.7826086956522,1,82,"Distinction"
"105010","107162","2013B",2,19,1,85.5,"Distinction"
"105011","107162","2013B",3,13.2916666666667,1,88.3333333333333,"Distinction"
"105012","107162","2013B",4,14.5833333333333,1,90,"Distinction"
"105013","107162","2013B",5,10.75,1,89.6,"Distinction"
"105014","107162","2013B",6,24,2,88.8571428571429,"Distinction"
"105015","107162","2013B",7,8.58333333333333,0,88.8571428571429,"Distinction"
"105016","107162","2013B",8,14.1666666666667,2,86.8888888888889,"Distinction"
"105017","107162","2013B",9,8.125,1,86.2,"Distinction"
"105009","107162","2013B",10,35.0416666666667,2,86.25,"Distinction"
"105018","1073767","2013B",0,2.63636363636364,0,0,"Pass"
"105019","1073767","2013B",1,43.3913043478261,1,90,"Pass"
"105021","1073767","2013B",2,28.9166666666667,0,90,"Pass"
"105022","1073767","2013B",3,20.75,1,89,"Pass"
"105023","1073767","2013B",4,24.6666666666667,2,87.75,"Pass"
"105024","1073767","2013B",5,33.5833333333333,2,85.5,"Pass"
"105025","1073767","2013B",6,14.6666666666667,2,85.875,"Pass"
"105026","1073767","2013B",7,19.375,0,85.875,"Pass"
"105027","1073767","2013B",8,5.5,1,86.6666666666667,"Pass"
"105028","1073767","2013B",9,7.79166666666667,0,86.6666666666667,"Pass"
"105020","1073767","2013B",10,46.25,3,85,"Pass"
"105029","108330","2013B",0,2.77011494252874,0,0,"Pass"
"105030","108330","2013B",1,24.8260869565217,2,79,"Pass"
"105032","108330","2013B",2,4.5,0,79,"Pass"
"105033","108330","2013B",3,13.0416666666667,2,74.25,"Pass"
"105034","108330","2013B",4,13.3333333333333,0,74.25,"Pass"
"105035","108330","2013B",5,8.75,2,64.6666666666667,"Pass"
"105036","108330","2013B",6,6.66666666666667,0,64.6666666666667,"Pass"
"105037","108330","2013B",7,11.5416666666667,1,61.2857142857143,"Pass"
"105038","108330","2013B",8,22.625,3,59.9,"Pass"
"105039","108330","2013B",9,1.29166666666667,0,59.9,"Pass"
"105031","108330","2013B",10,12.375,2,58.75,"Pass"
"105040","1090738","2013B",0,0,0,0,"Fail"
"105041","1090738","2013B",1,7.82608695652174,1,78,"Fail"
"105043","1090738","2013B",2,0.958333333333333,0,78,"Fail"
"105044","1090738","2013B",3,3.45833333333333,1,78,"Fail"
"105045","1090738","2013B",4,1.75,0,78,"Fail"
"105046","1090738","2013B",5,2.125,1,75.3333333333333,"Fail"
"105047","1090738","2013B",6,1.125,0,75.3333333333333,"Fail"
"105048","1090738","2013B",7,6.33333333333333,0,75.3333333333333,"Fail"
"105049","1090738","2013B",8,4.08333333333333,1,75.75,"Fail"
"105050","1090738","2013B",9,1.08333333333333,0,75.75,"Fail"
"105042","1090738","2013B",10,0,0,75.75,"Fail"
"105051","1097354","2013B",0,1.5,0,0,"Pass"
"105052","1097354","2013B",1,22.4782608695652,0,0,"Pass"
"105054","1097354","2013B",2,5.875,1,94,"Pass"
"105055","1097354","2013B",3,7.54166666666667,1,88,"Pass"
"105056","1097354","2013B",4,2.125,0,88,"Pass"
"105057","1097354","2013B",5,10.125,1,80,"Pass"
"105058","1097354","2013B",6,10.0416666666667,0,80,"Pass"
"105059","1097354","2013B",7,16.125,1,83,"Pass"
"105060","1097354","2013B",8,18.9166666666667,1,86,"Pass"
"105061","1097354","2013B",9,1.29166666666667,0,86,"Pass"
"105053","1097354","2013B",10,18.2916666666667,0,86,"Pass"
"105062","110085","2013B",0,1,0,0,"Fail"
"105063","110085","2013B",1,8.65217391304348,1,86,"Fail"
"105065","110085","2013B",2,0.333333333333333,0,86,"Fail"
"105066","110085","2013B",3,8.625,1,85,"Fail"
"105067","110085","2013B",4,0.0833333333333333,0,85,"Fail"
"105068","110085","2013B",5,3.08333333333333,1,62,"Fail"
"105069","110085","2013B",6,2.91666666666667,0,62,"Fail"
"105070","110085","2013B",7,1.66666666666667,1,59.25,"Fail"
"105071","110085","2013B",8,9.5,1,59,"Fail"
"105072","110085","2013B",9,0.0416666666666667,0,59,"Fail"
"105064","110085","2013B",10,29.5416666666667,3,66,"Fail"
"105073","110116","2013B",0,2.23684210526316,0,0,"Pass"
"105074","110116","2013B",1,10.5217391304348,1,88,"Pass"
"105076","110116","2013B",2,23.5416666666667,0,88,"Pass"
"105077","110116","2013B",3,12.25,3,90.5,"Pass"
"105078","110116","2013B",4,2.70833333333333,0,90.5,"Pass"
"105079","110116","2013B",5,9.875,2,87.8333333333333,"Pass"
"105080","110116","2013B",6,22.7083333333333,1,85.5714285714286,"Pass"
"105081","110116","2013B",7,39.6666666666667,2,85.5555555555556,"Pass"
"105082","110116","2013B",8,9.08333333333333,1,85.2,"Pass"
"105083","110116","2013B",9,12.8333333333333,2,84.1666666666667,"Pass"
"105075","110116","2013B",10,13.125,0,84.1666666666667,"Pass"
"105084","111775","2013B",0,2.23611111111111,0,0,"Pass"
"105085","111775","2013B",1,23.6086956521739,1,84,"Pass"
"105087","111775","2013B",2,11.7916666666667,1,83.5,"Pass"
"105088","111775","2013B",3,19.875,2,89.5,"Pass"
"105089","111775","2013B",4,12.875,1,88.2,"Pass"
"105090","111775","2013B",5,10.7083333333333,2,88,"Pass"
"105091","111775","2013B",6,13.0416666666667,2,88,"Pass"
"105092","111775","2013B",7,19.8333333333333,0,88,"Pass"
"105093","111775","2013B",8,9,3,88.9166666666667,"Pass"
"105094","111775","2013B",9,4.91666666666667,0,88.9166666666667,"Pass"
"105086","111775","2013B",10,0,0,88.9166666666667,"Pass"
"105095","1118284","2013B",0,3.22222222222222,0,0,"Pass"
"105096","1118284","2013B",1,13.3478260869565,2,89.5,"Pass"
"105098","1118284","2013B",2,20.0833333333333,2,89,"Pass"
"105099","1118284","2013B",3,8.45833333333333,0,89,"Pass"
"105100","1118284","2013B",4,16.125,2,89.5,"Pass"
"105101","1118284","2013B",5,14.0833333333333,0,89.5,"Pass"
"105102","1118284","2013B",6,12.75,2,90.375,"Pass"
"105103","1118284","2013B",7,21.6666666666667,1,90.8888888888889,"Pass"
"105104","1118284","2013B",8,10.7083333333333,1,91.3,"Pass"
"105105","1118284","2013B",9,14.2916666666667,0,91.3,"Pass"
"105097","1118284","2013B",10,11.9583333333333,2,91.9166666666667,"Pass"
"105106","115373","2013B",0,2.93333333333333,0,0,"Pass"
"105107","115373","2013B",1,13.8695652173913,1,90,"Pass"
"105109","115373","2013B",2,20.9166666666667,1,89,"Pass"
"105110","115373","2013B",3,7.33333333333333,1,88,"Pass"
"105111","115373","2013B",4,4.29166666666667,0,88,"Pass"
"105112","115373","2013B",5,3.20833333333333,1,84.5,"Pass"
"105113","115373","2013B",6,19.375,2,84.5,"Pass"
"105114","115373","2013B",7,18.5,2,83.25,"Pass"
"105115","115373","2013B",8,10.7916666666667,2,83.5,"Pass"
"105116","115373","2013B",9,3.625,0,83.5,"Pass"
"105108","115373","2013B",10,17.625,2,81.75,"Pass"
"105117","118532","2013B",0,2.58139534883721,0,0,"Pass"
"105118","118532","2013B",1,8.1304347826087,1,92,"Pass"
"105120","118532","2013B",2,19.2916666666667,1,91,"Pass"
"105121","118532","2013B",3,7.66666666666667,1,88,"Pass"
"105122","118532","2013B",4,18.7083333333333,1,90.25,"Pass"
"105123","118532","2013B",5,5.79166666666667,1,89.2,"Pass"
"105124","118532","2013B",6,29.4583333333333,2,88.1428571428571,"Pass"
"105125","118532","2013B",7,7.83333333333333,0,88.1428571428571,"Pass"
"105126","118532","2013B",8,25.7916666666667,2,88.2222222222222,"Pass"
"105127","118532","2013B",9,34.2916666666667,3,86.4166666666667,"Pass"
"105119","118532","2013B",10,9.58333333333333,0,86.4166666666667,"Pass"
"105128","118668","2013B",0,1.75,0,0,"Pass"
"105129","118668","2013B",1,23.2608695652174,1,70,"Pass"
"105131","118668","2013B",2,12.4166666666667,0,70,"Pass"
"105132","118668","2013B",3,7.33333333333333,1,64,"Pass"
"105133","118668","2013B",4,2.25,0,64,"Pass"
"105134","118668","2013B",5,1.875,1,69.6666666666667,"Pass"
"105135","118668","2013B",6,8.66666666666667,1,71.25,"Pass"
"105136","118668","2013B",7,18.4583333333333,0,71.25,"Pass"
"105137","118668","2013B",8,15,1,73.6,"Pass"
"105138","118668","2013B",9,5.5,2,76.5714285714286,"Pass"
"105130","118668","2013B",10,26.0833333333333,1,78.875,"Pass"
"105139","119353","2013B",0,1.70588235294118,0,0,"Pass"
"105140","119353","2013B",1,12.4782608695652,1,78,"Pass"
"105142","119353","2013B",2,14.1666666666667,0,78,"Pass"
"105143","119353","2013B",3,25.5,3,87.75,"Pass"
"105144","119353","2013B",4,13.2916666666667,0,87.75,"Pass"
"105145","119353","2013B",5,15.75,1,85.6,"Pass"
"105146","119353","2013B",6,8.375,1,86.6666666666667,"Pass"
"105147","119353","2013B",7,10.875,0,86.6666666666667,"Pass"
"105148","119353","2013B",8,9.83333333333333,1,86.5714285714286,"Pass"
"105149","119353","2013B",9,2.95833333333333,0,86.5714285714286,"Pass"
"105141","119353","2013B",10,29.375,5,85.8333333333333,"Pass"
"105150","125996","2013B",0,3.68292682926829,0,0,"Pass"
"105151","125996","2013B",1,6.17391304347826,0,0,"Pass"
"105153","125996","2013B",2,21.6666666666667,3,83,"Pass"
"105154","125996","2013B",3,13.3333333333333,1,82.75,"Pass"
"105155","125996","2013B",4,15.0416666666667,0,82.75,"Pass"
"105156","125996","2013B",5,6,1,80.4,"Pass"
"105157","125996","2013B",6,8.58333333333333,2,78.7142857142857,"Pass"
"105158","125996","2013B",7,19.2916666666667,2,79.4444444444444,"Pass"
"105159","125996","2013B",8,16.0833333333333,1,79.8,"Pass"
"105160","125996","2013B",9,6.70833333333333,1,79.0909090909091,"Pass"
"105152","125996","2013B",10,17,1,78.9166666666667,"Pass"
"105161","126088","2013B",0,1.8,0,0,"Fail"
"105162","126088","2013B",1,9.39130434782609,1,60,"Fail"
"105164","126088","2013B",2,2.33333333333333,0,60,"Fail"
"105165","126088","2013B",3,5,1,55,"Fail"
"105166","126088","2013B",4,3.66666666666667,0,55,"Fail"
"105167","126088","2013B",5,1.875,1,51.3333333333333,"Fail"
"105168","126088","2013B",6,3.08333333333333,0,51.3333333333333,"Fail"
"105169","126088","2013B",7,8.70833333333333,1,47.25,"Fail"
"105170","126088","2013B",8,9.66666666666667,1,37.8,"Fail"
"105171","126088","2013B",9,0.625,0,37.8,"Fail"
"105163","126088","2013B",10,0.0416666666666667,0,37.8,"Fail"
"105172","128142","2013B",0,2,0,0,"Fail"
"105173","128142","2013B",1,30.4347826086957,2,80,"Fail"
"105175","128142","2013B",2,16.0416666666667,2,84.75,"Fail"
"105176","128142","2013B",3,10.5,1,80.6,"Fail"
"105177","128142","2013B",4,4.41666666666667,0,80.6,"Fail"
"105178","128142","2013B",5,3.83333333333333,2,74.7142857142857,"Fail"
"105179","128142","2013B",6,3.25,1,69.125,"Fail"
"105180","128142","2013B",7,0,0,69.125,"Fail"
"105181","128142","2013B",8,0,0,69.125,"Fail"
"105182","128142","2013B",9,0,0,69.125,"Fail"
"105174","128142","2013B",10,0,0,69.125,"Fail"
"105183","130403","2013B",0,1.67741935483871,0,0,"Pass"
"105184","130403","2013B",1,14,1,60,"Pass"
"105186","130403","2013B",2,23.8333333333333,0,60,"Pass"
"105187","130403","2013B",3,19.5833333333333,1,56,"Pass"
"105188","130403","2013B",4,17.0833333333333,1,64.6666666666667,"Pass"
"105189","130403","2013B",5,24.125,2,69.6,"Pass"
"105190","130403","2013B",6,21.375,2,67.1428571428571,"Pass"
"105191","130403","2013B",7,19.1666666666667,0,67.1428571428571,"Pass"
"105192","130403","2013B",8,33.75,1,66.625,"Pass"
"105193","130403","2013B",9,28.25,3,64.6363636363636,"Pass"
"105185","130403","2013B",10,26.25,1,65,"Pass"
"105194","131272","2013B",0,2.89473684210526,0,0,"Pass"
"105195","131272","2013B",1,22.9130434782609,1,76,"Pass"
"105197","131272","2013B",2,18.7916666666667,0,76,"Pass"
"105198","131272","2013B",3,13.6666666666667,2,72.6666666666667,"Pass"
"105199","131272","2013B",4,20.5,0,72.6666666666667,"Pass"
"105200","131272","2013B",5,3.79166666666667,1,70.5,"Pass"
"105201","131272","2013B",6,23.9166666666667,1,72.8,"Pass"
"105202","131272","2013B",7,20.0833333333333,0,72.8,"Pass"
"105203","131272","2013B",8,11.9166666666667,1,73.8333333333333,"Pass"
"105204","131272","2013B",9,3.375,0,73.8333333333333,"Pass"
"105196","131272","2013B",10,72.6666666666667,6,75.8333333333333,"Pass"
"105205","1337055","2013B",0,1.57142857142857,0,0,"Pass"
"105206","1337055","2013B",1,8.21739130434783,1,86,"Pass"
"105208","1337055","2013B",2,11.4166666666667,1,89,"Pass"
"105209","1337055","2013B",3,25.7083333333333,3,85.2,"Pass"
"105210","1337055","2013B",4,3.20833333333333,1,85.1666666666667,"Pass"
"105211","1337055","2013B",5,7.75,0,85.1666666666667,"Pass"
"105212","1337055","2013B",6,7,0,85.1666666666667,"Pass"
"105213","1337055","2013B",7,24.625,1,85.1428571428571,"Pass"
"105214","1337055","2013B",8,4.20833333333333,3,83.5,"Pass"
"105215","1337055","2013B",9,6.79166666666667,0,83.5,"Pass"
"105207","1337055","2013B",10,8.29166666666667,2,82.9166666666667,"Pass"
"105216","134260","2013B",0,1.65217391304348,0,0,"Pass"
"105217","134260","2013B",1,4.34782608695652,1,68,"Pass"
"105219","134260","2013B",2,1.70833333333333,0,68,"Pass"
"105220","134260","2013B",3,4.29166666666667,1,69,"Pass"
"105221","134260","2013B",4,1.54166666666667,0,69,"Pass"
"105222","134260","2013B",5,0.291666666666667,1,73,"Pass"
"105223","134260","2013B",6,5.375,1,75,"Pass"
"105224","134260","2013B",7,2.83333333333333,0,75,"Pass"
"105225","134260","2013B",8,1.41666666666667,1,79.2,"Pass"
"105226","134260","2013B",9,0.125,0,79.2,"Pass"
"105218","134260","2013B",10,22.5,7,84.9166666666667,"Pass"
"105227","134578","2013B",0,0,0,0,"Fail"
"105228","134578","2013B",1,3.65217391304348,0,0,"Fail"
"105230","134578","2013B",2,3.91666666666667,0,0,"Fail"
"105231","134578","2013B",3,0,0,0,"Fail"
"105232","134578","2013B",4,0,0,0,"Fail"
"105233","134578","2013B",5,0,0,0,"Fail"
"105234","134578","2013B",6,0,0,0,"Fail"
"105235","134578","2013B",7,0,0,0,"Fail"
"105236","134578","2013B",8,0,0,0,"Fail"
"105237","134578","2013B",9,0,0,0,"Fail"
"105229","134578","2013B",10,0,0,0,"Fail"
"105238","1347198","2013B",0,2.3,0,0,"Pass"
"105239","1347198","2013B",1,7.65217391304348,1,92,"Pass"
"105241","1347198","2013B",2,5.70833333333333,0,92,"Pass"
"105242","1347198","2013B",3,8.5,1,93,"Pass"
"105243","1347198","2013B",4,24.9166666666667,2,89.5,"Pass"
"105244","1347198","2013B",5,5.08333333333333,1,89.8,"Pass"
"105245","1347198","2013B",6,6.58333333333333,0,89.8,"Pass"
"105246","1347198","2013B",7,8.54166666666667,1,89.1666666666667,"Pass"
"105247","1347198","2013B",8,8.54166666666667,1,88.2857142857143,"Pass"
"105248","1347198","2013B",9,17.7916666666667,4,83.7272727272727,"Pass"
"105240","1347198","2013B",10,12.4166666666667,1,83.8333333333333,"Pass"
"105249","135075","2013B",0,3.67307692307692,0,0,"Pass"
"105250","135075","2013B",1,12.3478260869565,2,80,"Pass"
"105252","135075","2013B",2,3.29166666666667,0,80,"Pass"
"105253","135075","2013B",3,17.75,3,83.6,"Pass"
"105254","135075","2013B",4,9.29166666666667,1,84.5,"Pass"
"105255","135075","2013B",5,6.08333333333333,1,85,"Pass"
"105256","135075","2013B",6,3.54166666666667,1,83.625,"Pass"
"105257","135075","2013B",7,17.375,0,83.625,"Pass"
"105258","135075","2013B",8,22.375,2,84.1,"Pass"
"105259","135075","2013B",9,10.6666666666667,2,85,"Pass"
"105251","135075","2013B",10,7.66666666666667,0,85,"Pass"
"105260","1397662","2013B",0,2.84269662921348,0,0,"Fail"
"105261","1397662","2013B",1,33.1739130434783,2,88,"Fail"
"105263","1397662","2013B",2,35.5,1,91.6666666666667,"Fail"
"105264","1397662","2013B",3,29.375,2,87.4,"Fail"
"105265","1397662","2013B",4,17.5833333333333,1,83.1666666666667,"Fail"
"105266","1397662","2013B",5,13.8333333333333,0,83.1666666666667,"Fail"
"105267","1397662","2013B",6,8.75,1,73.5714285714286,"Fail"
"105268","1397662","2013B",7,21.5416666666667,1,75.125,"Fail"
"105269","1397662","2013B",8,17.5416666666667,1,74.6666666666667,"Fail"
"105270","1397662","2013B",9,55.25,1,76.3,"Fail"
"105262","1397662","2013B",10,81.6666666666667,2,78.0833333333333,"Fail"
"105271","139949","2013B",0,3.98360655737705,0,0,"Pass"
"105272","139949","2013B",1,33.5652173913044,2,95.5,"Pass"
"105274","139949","2013B",2,5.16666666666667,1,96.3333333333333,"Pass"
"105275","139949","2013B",3,13.375,1,95.25,"Pass"
"105276","139949","2013B",4,1.91666666666667,0,95.25,"Pass"
"105277","139949","2013B",5,7.08333333333333,1,94.4,"Pass"
"105278","139949","2013B",6,22.9166666666667,3,94,"Pass"
"105279","139949","2013B",7,14.25,0,94,"Pass"
"105280","139949","2013B",8,12.6666666666667,1,92.6666666666667,"Pass"
"105281","139949","2013B",9,3.29166666666667,0,92.6666666666667,"Pass"
"105273","139949","2013B",10,14.3333333333333,3,91.3333333333333,"Pass"
"105282","140866","2013B",0,2.375,0,0,"Pass"
"105283","140866","2013B",1,14.0434782608696,1,86,"Pass"
"105285","140866","2013B",2,1.20833333333333,0,86,"Pass"
"105286","140866","2013B",3,9.54166666666667,1,85,"Pass"
"105287","140866","2013B",4,19.25,0,85,"Pass"
"105288","140866","2013B",5,7.95833333333333,1,86,"Pass"
"105289","140866","2013B",6,12.9583333333333,1,85,"Pass"
"105290","140866","2013B",7,0.25,0,85,"Pass"
"105291","140866","2013B",8,22.0416666666667,1,85.2,"Pass"
"105292","140866","2013B",9,32,7,86.4166666666667,"Pass"
"105284","140866","2013B",10,4.70833333333333,0,86.4166666666667,"Pass"
"105293","140907","2013B",0,2.60714285714286,0,0,"Pass"
"105294","140907","2013B",1,29.1739130434783,1,82,"Pass"
"105296","140907","2013B",2,31.0833333333333,2,82,"Pass"
"105297","140907","2013B",3,9.125,2,85.4,"Pass"
"105298","140907","2013B",4,11.1666666666667,1,84.1666666666667,"Pass"
"105299","140907","2013B",5,5.16666666666667,1,84.2857142857143,"Pass"
"105300","140907","2013B",6,12.75,2,81.8888888888889,"Pass"
"105301","140907","2013B",7,9.45833333333333,0,81.8888888888889,"Pass"
"105302","140907","2013B",8,14.1666666666667,3,79.5,"Pass"
"105303","140907","2013B",9,6.95833333333333,0,79.5,"Pass"
"105295","140907","2013B",10,3.25,0,79.5,"Pass"
"105304","142339","2013B",0,3.47945205479452,0,0,"Distinction"
"105305","142339","2013B",1,40.2173913043478,1,96,"Distinction"
"105307","142339","2013B",2,21.5,3,94.25,"Distinction"
"105308","142339","2013B",3,25.5833333333333,1,94.4,"Distinction"
"105309","142339","2013B",4,12.7916666666667,1,94.3333333333333,"Distinction"
"105310","142339","2013B",5,20.75,1,94.5714285714286,"Distinction"
"105311","142339","2013B",6,10.75,1,93.5,"Distinction"
"105312","142339","2013B",7,26.4583333333333,1,93.2222222222222,"Distinction"
"105313","142339","2013B",8,21.6666666666667,2,92.9090909090909,"Distinction"
"105314","142339","2013B",9,24.375,1,92.9166666666667,"Distinction"
"105306","142339","2013B",10,6.54166666666667,0,92.9166666666667,"Distinction"
"105315","143350","2013B",0,3.4,0,0,"Pass"
"105316","143350","2013B",1,12.8260869565217,2,84,"Pass"
"105318","143350","2013B",2,16.5833333333333,2,87,"Pass"
"105319","143350","2013B",3,5.125,0,87,"Pass"
"105320","143350","2013B",4,10.5,1,87.6,"Pass"
"105321","143350","2013B",5,7.16666666666667,1,85.5,"Pass"
"105322","143350","2013B",6,6.04166666666667,1,85.8571428571429,"Pass"
"105323","143350","2013B",7,3.29166666666667,0,85.8571428571429,"Pass"
"105324","143350","2013B",8,13.8333333333333,3,83.4,"Pass"
"105325","143350","2013B",9,9.25,1,82.3636363636364,"Pass"
"105317","143350","2013B",10,9.45833333333333,1,80.8333333333333,"Pass"
"105326","1436558","2013B",0,2.888,0,0,"Distinction"
"105327","1436558","2013B",1,20,1,76,"Distinction"
"105329","1436558","2013B",2,11.5416666666667,0,76,"Distinction"
"105330","1436558","2013B",3,10.125,3,84,"Distinction"
"105331","1436558","2013B",4,11.9166666666667,1,84.4,"Distinction"
"105332","1436558","2013B",5,4.95833333333333,0,84.4,"Distinction"
"105333","1436558","2013B",6,13.125,1,85,"Distinction"
"105334","1436558","2013B",7,7.33333333333333,2,86.375,"Distinction"
"105335","1436558","2013B",8,4.45833333333333,1,87.3333333333333,"Distinction"
"105336","1436558","2013B",9,15.5416666666667,1,86.6,"Distinction"
"105328","1436558","2013B",10,8.125,2,87.25,"Distinction"
"105337","1440072","2013B",0,1.875,0,0,"Pass"
"105338","1440072","2013B",1,31.7826086956522,2,86,"Pass"
"105340","1440072","2013B",2,18.6666666666667,2,83,"Pass"
"105341","1440072","2013B",3,2.91666666666667,0,83,"Pass"
"105342","1440072","2013B",4,13.25,1,76.8,"Pass"
"105343","1440072","2013B",5,13.5,0,76.8,"Pass"
"105344","1440072","2013B",6,16.5416666666667,1,74.3333333333333,"Pass"
"105345","1440072","2013B",7,1.75,0,74.3333333333333,"Pass"
"105346","1440072","2013B",8,6.5,1,75.4285714285714,"Pass"
"105347","1440072","2013B",9,2.125,0,75.4285714285714,"Pass"
"105339","1440072","2013B",10,70.375,5,75.5833333333333,"Pass"
"105348","1442706","2013B",0,2.07272727272727,0,0,"Fail"
"105349","1442706","2013B",1,16.3478260869565,1,76,"Fail"
"105351","1442706","2013B",2,38,0,76,"Fail"
"105352","1442706","2013B",3,21.2916666666667,1,71,"Fail"
"105353","1442706","2013B",4,11,0,71,"Fail"
"105354","1442706","2013B",5,1.29166666666667,0,71,"Fail"
"105355","1442706","2013B",6,0.0416666666666667,0,71,"Fail"
"105356","1442706","2013B",7,0,0,71,"Fail"
"105357","1442706","2013B",8,0,0,71,"Fail"
"105358","1442706","2013B",9,0,0,71,"Fail"
"105350","1442706","2013B",10,0,0,71,"Fail"
"105359","1444520","2013B",0,2.32450331125828,0,0,"Pass"
"105360","1444520","2013B",1,19.8695652173913,2,89,"Pass"
"105362","1444520","2013B",2,10.4583333333333,0,89,"Pass"
"105363","1444520","2013B",3,7.625,1,87.3333333333333,"Pass"
"105364","1444520","2013B",4,20.125,1,89.75,"Pass"
"105365","1444520","2013B",5,16,2,90.3333333333333,"Pass"
"105366","1444520","2013B",6,13.5833333333333,2,90.875,"Pass"
"105367","1444520","2013B",7,5.66666666666667,0,90.875,"Pass"
"105368","1444520","2013B",8,14.25,1,90.2222222222222,"Pass"
"105369","1444520","2013B",9,10.9166666666667,1,90.6,"Pass"
"105361","1444520","2013B",10,8.375,2,91.1666666666667,"Pass"
"105370","144747","2013B",0,2.5,0,0,"Distinction"
"105371","144747","2013B",1,8.26086956521739,1,88,"Distinction"
"105373","144747","2013B",2,2.58333333333333,0,88,"Distinction"
"105374","144747","2013B",3,1.5,1,89,"Distinction"
"105375","144747","2013B",4,1.79166666666667,0,89,"Distinction"
"105376","144747","2013B",5,4.875,1,88.6666666666667,"Distinction"
"105377","144747","2013B",6,6.16666666666667,1,86.75,"Distinction"
"105378","144747","2013B",7,4.5,0,86.75,"Distinction"
"105379","144747","2013B",8,2.33333333333333,1,88,"Distinction"
"105380","144747","2013B",9,23.6666666666667,4,86.2222222222222,"Distinction"
"105372","144747","2013B",10,6.66666666666667,3,85.5833333333333,"Distinction"
"105381","1464952","2013B",0,2.33333333333333,0,0,"Pass"
"105382","1464952","2013B",1,23,1,98,"Pass"
"105384","1464952","2013B",2,32.875,0,98,"Pass"
"105385","1464952","2013B",3,32.3333333333333,1,86,"Pass"
"105386","1464952","2013B",4,64,3,84.8,"Pass"
"105387","1464952","2013B",5,14.7083333333333,1,83,"Pass"
"105388","1464952","2013B",6,14.2916666666667,0,83,"Pass"
"105389","1464952","2013B",7,15.0416666666667,1,81.7142857142857,"Pass"
"105390","1464952","2013B",8,16.375,0,81.7142857142857,"Pass"
"105391","1464952","2013B",9,0.458333333333333,0,81.7142857142857,"Pass"
"105383","1464952","2013B",10,27.6666666666667,4,81,"Pass"
"105392","147168","2013B",0,3.91666666666667,0,0,"Pass"
"105393","147168","2013B",1,43.2608695652174,1,94,"Pass"
"105395","147168","2013B",2,47.5833333333333,0,94,"Pass"
"105396","147168","2013B",3,44.5,1,89,"Pass"
"105397","147168","2013B",4,30.9166666666667,1,85.3333333333333,"Pass"
"105398","147168","2013B",5,12.7916666666667,0,85.3333333333333,"Pass"
"105399","147168","2013B",6,27.1666666666667,1,78,"Pass"
"105400","147168","2013B",7,36.7083333333333,0,78,"Pass"
"105401","147168","2013B",8,24.125,1,79.4,"Pass"
"105402","147168","2013B",9,19.875,0,79.4,"Pass"
"105394","147168","2013B",10,32.625,7,78.8333333333333,"Pass"
"105403","149680","2013B",0,2.45614035087719,0,0,"Pass"
"105404","149680","2013B",1,23.7826086956522,1,82,"Pass"
"105406","149680","2013B",2,28.25,1,83.5,"Pass"
"105407","149680","2013B",3,20.5833333333333,2,84,"Pass"
"105408","149680","2013B",4,17.7916666666667,1,84.4,"Pass"
"105409","149680","2013B",5,18.5416666666667,1,85,"Pass"
"105410","149680","2013B",6,18.375,2,84.125,"Pass"
